,code,decimal_point,name,pre_close,volunit,type,kind,market
0,395001,2.0,主板Ａ股,459.0,100.0,指数板块,指数,0
1,395002,2.0,主板Ｂ股,272.0,100.0,指数板块,指数,0
2,395003,2.0,中小板,940.0,100.0,指数板块,指数,0
3,395004,2.0,创业板,787.0,100.0,指数板块,指数,0
4,395005,2.0,存托凭证,5.877471754111439e-39,100.0,指数板块,指数,0
5,395011,2.0,封闭基金,32768.5,100.0,指数板块,指数,0
6,395012,2.0,ＬＯＦｓ,247.0,100.0,指数板块,指数,0
7,395013,2.0,ＥＴＦｓ,69.0,100.0,指数板块,指数,0
8,395014,2.0,分级基金,214.0,100.0,指数板块,指数,0
9,395021,2.0,可 转 债,108.0,100.0,指数板块,指数,0
10,395022,2.0,企业债,24.0,100.0,指数板块,指数,0
11,395024,2.0,公司债,626.0,100.0,指数板块,指数,0
12,395031,2.0,国债,4011.0,100.0,指数板块,指数,0
13,395032,2.0,债券回购,264.0,100.0,指数板块,指数,0
14,395041,2.0,股票权证,5.877471754111439e-39,100.0,指数板块,指数,0
15,395099,2.0,总 成 交,2233.0,100.0,指数板块,指数,0
16,399001,2.0,深证成指,10296.291015625,100.0,指数板块,指数,0
17,399002,2.0,深成指R,12629.900390625,100.0,指数板块,指数,0
18,399003,2.0,成份Ｂ指,5142.75,100.0,指数板块,指数,0
19,399004,2.0,深证100R,5872.134765625,100.0,指数板块,指数,0
20,399005,2.0,中小板指,6528.5029296875,100.0,指数板块,指数,0
21,399006,2.0,创业板指,1790.4375,100.0,指数板块,指数,0
22,399007,2.0,深证300,4407.095703125,100.0,指数板块,指数,0
23,399008,2.0,中小300,1255.7152099609375,100.0,指数板块,指数,0
24,399009,2.0,深证200,3987.294677734375,100.0,指数板块,指数,0
25,399010,2.0,深证700,5904.8466796875,100.0,指数板块,指数,0
26,399011,2.0,深证1000,4856.48681640625,100.0,指数板块,指数,0
27,399012,2.0,创业300,2604.9541015625,100.0,指数板块,指数,0
28,399013,2.0,深市精选,4610.375,100.0,指数板块,指数,0
29,399015,2.0,中小创新,1932.7659912109373,100.0,指数板块,指数,0
30,399016,2.0,深证创新,3097.33251953125,100.0,指数板块,指数,0
31,399017,2.0,SME创新,2673.384521484375,100.0,指数板块,指数,0
