,open,close,high,low,vol,amount,year,month,day,hour,minute,datetime
0,5.53,5.01,5.58,4.97,1942885.0,998892608.0,2003,1,6,15,0,2003-01-06 15:00
1,4.96,4.85,5.05,4.82,589777.0,290622432.0,2003,1,7,15,0,2003-01-07 15:00
2,4.83,5.34,5.34,4.81,720640.0,368411104.0,2003,1,8,15,0,2003-01-08 15:00
3,5.65,5.87,5.87,5.61,1100868.0,636358016.0,2003,1,9,15,0,2003-01-09 15:00
4,6.19,6.21,6.46,6.11,2063934.0,1300495488.0,2003,1,10,15,0,2003-01-10 15:00
5,6.3,6.3,6.49,6.1,1091783.0,685740352.0,2003,1,13,15,0,2003-01-13 15:00
6,6.27,6.54,6.9,6.18,1494812.0,977541632.0,2003,1,14,15,0,2003-01-14 15:00
7,6.5,6.82,6.88,6.41,1381749.0,919559360.0,2003,1,15,15,0,2003-01-15 15:00
8,6.82,6.81,6.98,6.65,654831.0,444285056.0,2003,1,16,15,0,2003-01-16 15:00
9,6.81,6.55,6.84,6.53,653587.0,434861792.0,2003,1,17,15,0,2003-01-17 15:00
10,6.48,6.82,6.99,6.43,691818.0,468747488.0,2003,1,20,15,0,2003-01-20 15:00
11,6.86,6.58,6.89,6.52,428631.0,284742624.0,2003,1,21,15,0,2003-01-21 15:00
12,6.57,6.49,6.65,6.44,320352.0,209619840.0,2003,1,22,15,0,2003-01-22 15:00
13,6.49,6.5,6.75,6.46,315385.0,207919168.0,2003,1,23,15,0,2003-01-23 15:00
14,6.5,6.97,7.14,6.49,927070.0,637719040.0,2003,1,24,15,0,2003-01-24 15:00
15,6.94,6.96,7.05,6.81,394738.0,274235040.0,2003,1,27,15,0,2003-01-27 15:00
16,6.97,7.04,7.09,6.88,259664.0,181092736.0,2003,1,28,15,0,2003-01-28 15:00
17,7.05,6.91,7.08,6.89,296210.0,207060768.0,2003,1,29,15,0,2003-01-29 15:00
18,6.9,6.76,6.9,6.73,218760.0,148955168.0,2003,2,10,15,0,2003-02-10 15:00
19,6.73,6.82,6.83,6.72,104957.0,71109712.0,2003,2,11,15,0,2003-02-11 15:00
20,6.8,6.97,6.99,6.73,201379.0,138916464.0,2003,2,12,15,0,2003-02-12 15:00
21,6.99,6.92,7.19,6.91,398721.0,281763296.0,2003,2,13,15,0,2003-02-13 15:00
22,6.9,6.94,7.02,6.85,159964.0,110958112.0,2003,2,14,15,0,2003-02-14 15:00
23,6.94,6.8,6.98,6.75,204101.0,139692304.0,2003,2,17,15,0,2003-02-17 15:00
24,6.81,6.87,6.94,6.77,110183.0,75383480.0,2003,2,18,15,0,2003-02-18 15:00
25,6.85,6.93,7.03,6.84,195915.0,136072928.0,2003,2,19,15,0,2003-02-19 15:00
26,6.95,6.87,7.03,6.85,135890.0,94154320.0,2003,2,20,15,0,2003-02-20 15:00
27,6.88,6.7,6.9,6.67,251954.0,170253536.0,2003,2,21,15,0,2003-02-21 15:00
28,6.7,6.69,6.79,6.69,101463.0,68270224.0,2003,2,24,15,0,2003-02-24 15:00
29,6.7,6.87,6.93,6.7,166711.0,114282760.0,2003,2,25,15,0,2003-02-25 15:00
30,6.89,6.87,6.98,6.83,131322.0,90695872.0,2003,2,26,15,0,2003-02-26 15:00
31,6.9,6.87,6.98,6.84,126053.0,87028640.0,2003,2,27,15,0,2003-02-27 15:00
32,6.9,6.87,6.93,6.82,76059.0,52180176.0,2003,2,28,15,0,2003-02-28 15:00
33,6.86,6.94,6.95,6.85,121379.0,83780648.0,2003,3,3,15,0,2003-03-03 15:00
34,6.95,7.02,7.13,6.92,312728.0,219827104.0,2003,3,4,15,0,2003-03-04 15:00
35,7.02,6.91,7.03,6.88,147517.0,102226368.0,2003,3,5,15,0,2003-03-05 15:00
