,market,code,active1,price,last_close,open,high,low,reversed_bytes0,reversed_bytes1,vol,cur_vol,amount,s_vol,b_vol,reversed_bytes2,reversed_bytes3,bid1,ask1,bid_vol1,ask_vol1,bid2,ask2,bid_vol2,ask_vol2,bid3,ask3,bid_vol3,ask_vol3,bid4,ask4,bid_vol4,ask_vol4,bid5,ask5,bid_vol5,ask_vol5,reversed_bytes4,reversed_bytes5,reversed_bytes6,reversed_bytes7,reversed_bytes8,reversed_bytes9,active2,zd,zdf1,zdf,code2,name
0,1,000001,2851,3528.15,3522.16,3535.07,3539.49,3512.99,14943186,6,51278.57,0,699116224512.0,258222498,254563221,62910048,-313,72341.12,3528.15,849,1119,32546.85,3822.16,52,10,1444301.07,3528.15,850,729,3528.15,3528.15,0,0,3528.15,3528.15,0,0,"(2,)",0,-352815,-352815,-352815,4,0,5.99,0.17,0.17%,000001,上证指数
1,0,399001,4749,14423.37,14436.9,14482.98,14546.74,14339.39,13867664,6,55168.13,0,879104557056.0,278081188,273600098,93196816,3305,28250.74,14423.37,1131,1329,61296.06,14423.37,56,13,182153.26,14423.37,1031,880,14423.37,14423.37,0,0,14423.37,14423.37,0,0,"(2,)",0,-1442337,-1442337,-1442337,8,0,-13.53,-0.09,-0.09%,399001,深证成指
2,0,000776,4720,18.24,20.27,19.45,19.46,18.24,14998477,-1824,203.81,19334,3782250240.0,841141,1196996,0,532098,0.0,18.24,0,662,0.0,18.25,0,1010,0.0,18.26,0,822,0.0,18.27,0,248,0.0,18.28,0,102,"(5078,)",1,141,110,252,0,4720,-2.03,-10.01,-10.01%,000776,广发证券
3,1,600030,4734,24.34,24.73,25.15,25.28,24.28,14997767,-2434,138.61,7993,3418390272.0,729595,656536,1,394402,24.34,24.35,1755,1111,24.33,24.36,3006,771,24.32,24.37,1081,216,24.31,24.38,408,393,24.3,24.39,1511,381,"(2774,)",1,20,-10,73,0,4734,-0.39,-1.58,-1.58%,600030,中信证券
4,0,000016,3934,7.59,7.42,7.39,7.74,7.26,14999542,-759,57.56,8045,437913952.0,263423,312184,5,64906,7.59,7.6,1201,2409,7.58,7.61,28,619,7.57,7.62,330,342,7.56,7.63,5324,1837,7.55,7.64,930,205,"(4054,)",1,-50,-82,36,40,3934,0.17,2.29,2.29%,000016,深康佳Ａ
5,0,000021,3007,16.23,16.2,16.1,16.48,16.06,14998678,-1623,16.38,804,266572192.0,91051,72719,1,22427,16.22,16.23,491,271,16.21,16.24,794,108,16.2,16.25,673,128,16.19,16.26,1304,119,16.18,16.27,710,121,"(854,)",1,-93,-48,35,6,3007,0.03,0.19,0.19%,000021,深科技
6,1,600770,2244,5.96,5.85,5.92,6.01,5.87,14999605,-596,14.48,1145,86087080.0,67918,76908,-2,6559,5.96,5.97,833,273,5.95,5.98,669,1317,5.94,5.99,337,1182,5.93,6.0,748,1897,5.92,6.01,595,1444,"(1046,)",0,-13,4,-16,65520,2244,0.11,1.88,1.88%,600770,综艺股份
7,1,601958,4497,9.33,9.22,9.55,9.6,9.0,14999268,-933,78.7,4656,727547392.0,421268,365711,-3,109226,9.33,9.34,84,3,9.32,9.35,69,317,9.31,9.36,436,1078,9.3,9.37,449,938,9.29,9.38,715,258,"(2390,)",0,27,53,-37,21,4497,0.11,1.19,1.19%,601958,金钼股份
8,0,000009,4721,27.03,27.47,27.52,28.24,26.6,14997598,-2703,59.84,4160,1636907264.0,308842,289591,2,51636,27.02,27.03,143,1041,27.01,27.04,1023,22,27.0,27.05,981,48,26.99,27.06,74,71,26.98,27.07,191,14,"(2710,)",1,-110,-231,139,7,4721,-0.44,-1.6,-1.6%,000009,中国宝安
9,1,600533,2164,3.13,3.15,3.14,3.17,3.11,14999888,-313,11.08,439,34727028.0,76640,34199,1,1831,3.12,3.13,4410,398,3.11,3.14,3787,2780,3.1,3.15,1105,752,3.09,3.16,670,2433,3.08,3.17,384,1133,"(4374,)",0,10,9,-4,0,2164,-0.02,-0.63,-0.63%,600533,栖霞建设
