,code,decimal_point,name,pre_close,volunit,type,kind,market,type2,py
0,999999,2.0,上证指数,3060.75439453125,100.0,指数板块,指数,1,0,SZZS
1,999998,2.0,Ａ股指数,3207.1201171875,100.0,指数板块,指数,1,0,GZS
2,999997,2.0,Ｂ股指数,257.5201110839844,100.0,指数板块,指数,1,0,GZS
3,000001,2.0,上证指数,3060.75439453125,100.0,指数板块,指数,1,0,SZZS
4,000002,2.0,Ａ股指数,3207.1201171875,100.0,指数板块,指数,1,0,GZS
5,000003,2.0,Ｂ股指数,257.5201110839844,100.0,指数板块,指数,1,0,GZS
6,000004,2.0,工业指数,2443.182861328125,100.0,指数板块,指数,1,0,GYZS
7,000005,2.0,商业指数,2930.101806640625,100.0,指数板块,指数,1,0,SYZS
8,000006,2.0,地产指数,6938.8193359375,100.0,指数板块,指数,1,0,DCZS
9,000007,2.0,公用指数,4798.11083984375,100.0,指数板块,指数,1,0,GYZS
10,000008,2.0,综合指数,2923.32373046875,100.0,指数板块,指数,1,0,ZHZS
11,000009,2.0,上证380,4978.56640625,100.0,指数板块,指数,1,0,SZ380
12,000010,2.0,上证180,8833.8623046875,100.0,指数板块,指数,1,0,SZ180
13,000011,2.0,基金指数,6513.2265625,100.0,指数板块,指数,1,0,JJZS
14,000012,2.0,国债指数,178.05810546875,100.0,指数板块,指数,1,0,GZZS
15,000013,2.0,企债指数,239.5944061279297,100.0,指数板块,指数,1,0,QZZS
16,000015,2.0,红利指数,2732.3701171875,100.0,指数板块,指数,1,0,HLZS
17,000016,2.0,上证50,3017.87841796875,100.0,指数板块,指数,1,0,SZ50
18,000017,2.0,新综指,2585.946044921875,100.0,指数板块,指数,1,0,XZZ
19,000018,2.0,180金融,5666.42822265625,100.0,指数板块,指数,1,0,180JR
20,000019,2.0,治理指数,1051.23095703125,100.0,指数板块,指数,1,0,ZLZS
21,000020,2.0,中型综指,1109.7337646484375,100.0,指数板块,指数,1,0,ZXZZ
22,000021,2.0,180治理,976.1843872070312,100.0,指数板块,指数,1,0,180ZL
23,000022,2.0,沪公司债,203.65440368652344,100.0,指数板块,指数,1,0,HGSZ
24,000025,2.0,180基建,1640.446044921875,100.0,指数板块,指数,1,0,180JJ
25,000026,2.0,180资源,2247.948974609375,100.0,指数板块,指数,1,0,180ZY
26,000027,2.0,180运输,1029.1865234375,100.0,指数板块,指数,1,0,180YS
27,000028,2.0,180成长,3945.046875,100.0,指数板块,指数,1,0,180CC
28,000029,2.0,180价值,4087.787841796875,100.0,指数板块,指数,1,0,180JZ
29,000030,2.0,180R成长,2387.76318359375,100.0,指数板块,指数,1,0,180RCC
30,000031,2.0,180R价值,2974.041748046875,100.0,指数板块,指数,1,0,180RJZ
31,000032,2.0,上证能源,1229.3746337890625,100.0,指数板块,指数,1,0,SZNY
32,000033,2.0,上证材料,1999.4111328125,100.0,指数板块,指数,1,0,SZCL
33,000034,2.0,上证工业,2063.015380859375,100.0,指数板块,指数,1,0,SZGY
34,000035,2.0,上证可选,2468.068603515625,100.0,指数板块,指数,1,0,SZKX
35,000036,2.0,上证消费,10794.5517578125,100.0,指数板块,指数,1,0,SZXF
36,000037,2.0,上证医药,6873.32421875,100.0,指数板块,指数,1,0,SZYY
37,000038,2.0,上证金融,5557.15234375,100.0,指数板块,指数,1,0,SZJR
38,000039,2.0,上证信息,4611.14990234375,100.0,指数板块,指数,1,0,SZXX
39,000040,2.0,上证电信,3442.730712890625,100.0,指数板块,指数,1,0,SZDX
40,000041,2.0,上证公用,1853.6307373046875,100.0,指数板块,指数,1,0,SZGY
41,000042,2.0,上证央企,1527.9522705078125,100.0,指数板块,指数,1,0,SZYQ
42,000043,2.0,超大盘,2515.382080078125,100.0,指数板块,指数,1,0,CDP
43,000044,2.0,上证中盘,3466.530517578125,100.0,指数板块,指数,1,0,SZZP
44,000045,2.0,上证小盘,4072.302001953125,100.0,指数板块,指数,1,0,SZXP
45,000046,2.0,上证中小,3769.467041015625,100.0,指数板块,指数,1,0,SZZX
46,000047,2.0,上证全指,3341.8740234375,100.0,指数板块,指数,1,0,SZQZ
47,000048,2.0,责任指数,1495.4691162109375,100.0,指数板块,指数,1,0,ZRZS
48,000049,2.0,上证民企,1988.4439697265625,100.0,指数板块,指数,1,0,SZMQ
49,000050,2.0,50等权,2455.2431640625,100.0,指数板块,指数,1,0,50DQ
50,000051,2.0,180等权,8426.494140625,100.0,指数板块,指数,1,0,180DQ
51,000052,2.0,50基本,3042.158203125,100.0,指数板块,指数,1,0,50JB
52,000053,2.0,180基本,10934.4267578125,100.0,指数板块,指数,1,0,180JB
53,000054,2.0,上证海外,1362.7867431640625,100.0,指数板块,指数,1,0,SZHW
54,000055,2.0,上证地企,1249.524658203125,100.0,指数板块,指数,1,0,SZDQ
55,000056,2.0,上证国企,1067.06005859375,100.0,指数板块,指数,1,0,SZGQ
56,000057,2.0,全指成长,4248.4912109375,100.0,指数板块,指数,1,0,QZCC
57,000058,2.0,全指价值,4073.474609375,100.0,指数板块,指数,1,0,QZJZ
58,000059,2.0,全R成长,3093.047607421875,100.0,指数板块,指数,1,0,QRCC
59,000060,2.0,全R价值,3560.073486328125,100.0,指数板块,指数,1,0,QRJZ
60,000061,2.0,沪企债30,158.73129272460938,100.0,指数板块,指数,1,0,HQZ30
61,000062,2.0,上证沪企,2130.215087890625,100.0,指数板块,指数,1,0,SZHQ
62,000063,2.0,上证周期,3448.34228515625,100.0,指数板块,指数,1,0,SZZQ
63,000064,2.0,非周期,3057.792236328125,100.0,指数板块,指数,1,0,FZQ
64,000065,2.0,上证龙头,3331.712890625,100.0,指数板块,指数,1,0,SZLT
65,000066,2.0,上证商品,1638.8580322265625,100.0,指数板块,指数,1,0,SZSP
66,000067,2.0,上证新兴,7598.5390625,100.0,指数板块,指数,1,0,SZXX
67,000068,2.0,上证资源,1727.41162109375,100.0,指数板块,指数,1,0,SZZY
68,000069,2.0,消费80,5058.69775390625,100.0,指数板块,指数,1,0,XF80
69,000070,2.0,能源等权,1785.64013671875,100.0,指数板块,指数,1,0,NYDQ
70,000071,2.0,材料等权,2799.093994140625,100.0,指数板块,指数,1,0,CLDQ
71,000072,2.0,工业等权,2611.134521484375,100.0,指数板块,指数,1,0,GYDQ
72,000073,2.0,可选等权,2395.9609375,100.0,指数板块,指数,1,0,KXDQ
73,000074,2.0,消费等权,7264.65625,100.0,指数板块,指数,1,0,XFDQ
74,000075,2.0,医药等权,8548.78515625,100.0,指数板块,指数,1,0,YYDQ
75,000076,2.0,金融等权,5120.373046875,100.0,指数板块,指数,1,0,JRDQ
76,000077,2.0,信息等权,5491.94482421875,100.0,指数板块,指数,1,0,XXDQ
77,000078,2.0,电信等权,2770.947998046875,100.0,指数板块,指数,1,0,DXDQ
78,000079,2.0,公用等权,1864.9403076171875,100.0,指数板块,指数,1,0,GYDQ
79,000090,2.0,上证流通,1156.68896484375,100.0,指数板块,指数,1,0,SZLT
80,000091,2.0,沪财中小,8248.6064453125,100.0,指数板块,指数,1,0,HCZX
81,000092,2.0,资源50,2345.344970703125,100.0,指数板块,指数,1,0,ZY50
82,000093,2.0,180分层,9983.572265625,100.0,指数板块,指数,1,0,180FC
83,000094,2.0,上证上游,1906.6202392578125,100.0,指数板块,指数,1,0,SZSY
84,000095,2.0,上证中游,2777.062255859375,100.0,指数板块,指数,1,0,SZZY
85,000096,2.0,上证下游,4358.689453125,100.0,指数板块,指数,1,0,SZXY
86,000097,2.0,高端装备,6559.72412109375,100.0,指数板块,指数,1,0,GDZB
87,000098,2.0,上证F200,4405.14990234375,100.0,指数板块,指数,1,0,SZF200
88,000099,2.0,上证F300,6268.0986328125,100.0,指数板块,指数,1,0,SZF300
89,000100,2.0,上证F500,4848.375,100.0,指数板块,指数,1,0,SZF500
90,000101,2.0,5年信用,201.80140686035156,100.0,指数板块,指数,1,0,5NXY
91,000102,2.0,沪投资品,4055.15966796875,100.0,指数板块,指数,1,0,HTZP
92,000103,2.0,沪消费品,8504.810546875,100.0,指数板块,指数,1,0,HXFP
93,000104,2.0,380能源,999.1235961914062,100.0,指数板块,指数,1,0,380NY
94,000105,2.0,380材料,3674.005615234375,100.0,指数板块,指数,1,0,380CL
95,000106,2.0,380工业,4630.396484375,100.0,指数板块,指数,1,0,380GY
96,000107,2.0,380可选,4431.8408203125,100.0,指数板块,指数,1,0,380KX
97,000108,2.0,380消费,10047.3935546875,100.0,指数板块,指数,1,0,380XF
98,000109,2.0,380医药,11569.615234375,100.0,指数板块,指数,1,0,380YY
99,000110,2.0,380金融,3463.305419921875,100.0,指数板块,指数,1,0,380JR
100,000111,2.0,380信息,7780.03759765625,100.0,指数板块,指数,1,0,380XX
101,000112,2.0,380电信,6450.3603515625,100.0,指数板块,指数,1,0,380DX
102,000113,2.0,380公用,1939.1197509765625,100.0,指数板块,指数,1,0,380GY
103,000114,2.0,持续产业,1049.4930419921875,100.0,指数板块,指数,1,0,CXCY
104,000115,2.0,380等权,6423.8681640625,100.0,指数板块,指数,1,0,380DQ
105,000116,2.0,信用100,188.64599609375,100.0,指数板块,指数,1,0,XY100
106,000117,2.0,380成长,5228.11669921875,100.0,指数板块,指数,1,0,380CC
