,code,decimal_point,name,pre_close,volunit,type,kind,market,type2,py
0,395001,2.0,主板Ａ股,458.0,100.0,指数板块,指数,0,0,ZBG
1,395002,2.0,主板Ｂ股,256.0,100.0,指数板块,指数,0,0,ZBG
2,395003,2.0,中小板,943.0,100.0,指数板块,指数,0,0,ZXB
3,395004,2.0,创业板,791.0,100.0,指数板块,指数,0,0,CYB
4,395005,2.0,存托凭证,5.877471754111438e-39,100.0,指数板块,指数,0,0,CTPZ
5,395011,2.0,封闭基金,32768.5,100.0,指数板块,指数,0,0,FBJJ
6,395012,2.0,ＬＯＦｓ,250.0,100.0,指数板块,指数,0,0,
7,395013,2.0,ＥＴＦｓ,77.0,100.0,指数板块,指数,0,0,
8,395014,2.0,分级基金,212.0,100.0,指数板块,指数,0,0,FJJJ
9,395021,2.0,可 转 债,125.0,100.0,指数板块,指数,0,0,K Z Z
10,395022,2.0,企业债,23.0,100.0,指数板块,指数,0,0,QYZ
11,395024,2.0,公司债,637.0,100.0,指数板块,指数,0,0,GSZ
12,395031,2.0,国债,4266.0,100.0,指数板块,指数,0,0,GZ
13,395032,2.0,债券回购,264.0,100.0,指数板块,指数,0,0,ZQHG
14,395041,2.0,股票权证,5.877471754111438e-39,100.0,指数板块,指数,0,0,GPQZ
15,395099,2.0,总 成 交,2238.0,100.0,指数板块,指数,0,0,Z C J
16,399001,2.0,深证成指,11072.0576171875,100.0,指数板块,指数,0,0,SZCZ
17,399002,2.0,深成指R,13582.720703125,100.0,指数板块,指数,0,0,SCZR
18,399003,2.0,成份Ｂ指,5690.7275390625,100.0,指数板块,指数,0,0,CFZ
19,399004,2.0,深证100R,6237.54833984375,100.0,指数板块,指数,0,0,SZ100R
20,399005,2.0,中小板指,7281.6494140625,100.0,指数板块,指数,0,0,ZXBZ
21,399006,2.0,创业板指,1993.8990478515625,100.0,指数板块,指数,0,0,CYBZ
22,399007,2.0,深证300,4738.23388671875,100.0,指数板块,指数,0,0,SZ300
23,399008,2.0,中小300,1386.3985595703125,100.0,指数板块,指数,0,0,ZX300
24,399009,2.0,深证200,4387.978515625,100.0,指数板块,指数,0,0,SZ200
25,399010,2.0,深证700,6324.6337890625,100.0,指数板块,指数,0,0,SZ700
26,399011,2.0,深证1000,5215.2841796875,100.0,指数板块,指数,0,0,SZ1000
27,399012,2.0,创业300,2869.95751953125,100.0,指数板块,指数,0,0,CY300
28,399013,2.0,深市精选,4921.146484375,100.0,指数板块,指数,0,0,SSJX
29,399015,2.0,中小创新,2062.92236328125,100.0,指数板块,指数,0,0,ZXCX
30,399016,2.0,深证创新,3477.7978515625,100.0,指数板块,指数,0,0,SZCX
31,399017,2.0,SME创新,3082.376220703125,100.0,指数板块,指数,0,0,SMECX
32,399018,2.0,创业创新,3877.23779296875,100.0,指数板块,指数,0,0,CYCX
33,399050,2.0,创新引擎,2629.5556640625,100.0,指数板块,指数,0,0,CXYQ
34,399100,2.0,新 指 数,8341.314453125,100.0,指数板块,指数,0,0,X Z S
35,399101,2.0,中小板综,10347.1328125,100.0,指数板块,指数,0,0,ZXBZ
