'market'  市场
'code'  代码
'liutongguben'   流通股本
'province'   领域
'industry'   行业
'updated_date'   更新日期
'ipo_date'    ipo日期
'zongguben' 总股本
'guojiagu'  国家股
'faqirenfarengu'  法企人法人股
'farengu'  法人股
'bgu'   B股
'hgu'   H股
'zhigonggu' 职工股
'zongzichan'   总资产
'liudongzichan'  流动资产
'gudingzichan'  固定资产
'wuxingzichan'  无形资产
'gudongrenshu'  股东人数
'liudongfuzhai'  流动负债
'changqifuzhai'  长期负债
'zibengongjijin' 资本公积金
'jingzichan'   净资产
'zhuyingshouru'  主营收入
'zhuyinglirun'   主营利润
'yingshouzhangkuan'  应手帐款
'yingyelirun'  营业利润
'touzishouyu'  投资
'jingyingxianjinliu' 经营现金流
'zongxianjinliu' 总现金流
'cunhuo'  存货
'lirunzonghe' 利润总和
'shuihoulirun' 税后利润
'jinglirun'  净利润
'weifenpeilirun' 未分配利润
'meigujingzichan' 每股净资产
'baoliu2'  保留2
