,date,open,close,high,low,volume,code,MA5,MA10,RSI1,RSI2,RSI3,S80,X20,Z50,B1,S1,S2,S3
0,2017-04-19,15.298,15.336,15.345,15.154,599296.0,600030,,,100.0,100.0,100.0,80,20,50,0,0,0,0
1,2017-04-20,15.345,15.384,15.393,15.24,384387.0,600030,,,100.0,100.0,100.0,80,20,50,0,0,0,0
2,2017-04-21,15.365,15.527,15.537,15.326,466518.0,600030,,,100.0,100.0,100.0,80,20,50,0,0,0,0
3,2017-04-24,15.479,15.575,15.613,15.326,835361.0,600030,,,100.0,100.0,100.0,80,20,50,0,0,0,0
4,2017-04-25,15.479,15.403,15.527,15.393,367911.0,600030,15.445000000000002,,59.510357815442674,74.74117042367291,85.29584629030026,80,20,50,0,1,0,1
5,2017-04-26,15.412,15.479,15.613,15.336,531654.0,600030,15.473600000000001,,66.9103501346672,77.52792677704312,86.2371097930566,80,20,50,0,0,0,0
6,2017-04-27,15.47,15.508,15.527,15.384,427925.0,600030,15.4984,,69.56358247251656,78.53211899788826,86.58210756609756,80,20,50,0,0,0,0
7,2017-04-28,15.508,15.508,15.565,15.431,378799.0,600030,15.4946,,69.56358247251656,78.53211899788826,86.58210756609756,80,20,50,0,0,0,0
8,2017-05-02,15.527,15.393,15.537,15.374,322068.0,600030,15.4582,,46.47410824045771,64.43553259740737,77.99180875836305,80,20,50,0,0,1,1
9,2017-05-03,15.412,15.336,15.46,15.279,355879.0,600030,15.444799999999997,15.4449,38.54707678883907,58.63876410914513,74.15328760731846,80,20,50,0,0,0,0
10,2017-05-04,15.298,15.345,15.441,15.298,347974.0,600030,15.417999999999997,15.4458,40.54850475903877,59.28141972174132,74.36300100683599,80,20,50,0,0,0,0
11,2017-05-05,15.345,15.078,15.374,14.849,1389849.0,600030,15.331999999999999,15.415199999999999,18.36645853311883,39.202975109370996,59.33014696407933,80,20,50,0,0,0,0
12,2017-05-08,14.925,14.963,15.107,14.791,596889.0,600030,15.222999999999999,15.358799999999999,14.187788640920099,33.734894623458295,54.34889799198459,80,20,50,0,0,0,0
13,2017-05-09,14.963,14.906,15.011,14.887,270016.0,600030,15.1256,15.291900000000002,12.434943723024592,31.32838097580478,52.068094247365146,80,20,50,0,0,0,0
14,2017-05-10,14.915,14.791,14.954,14.782,312898.0,600030,15.0166,15.230700000000002,9.480928895352864,27.009202010671316,47.80729812349741,80,20,50,0,0,0,0
15,2017-05-11,14.763,14.829,14.915,14.571,571573.0,600030,14.913400000000001,15.165700000000005,17.569173393480725,30.525856461774293,49.25174746437385,80,20,50,0,0,0,0
16,2017-05-12,14.81,14.954,15.04,14.791,473262.0,600030,14.888600000000002,15.110300000000004,39.71753533558044,40.928088067731665,53.689609432756235,80,20,50,1,0,0,0
17,2017-05-15,14.973,15.107,15.269,14.973,645519.0,600030,14.917400000000004,15.070200000000003,57.27968959510211,50.92187695532131,58.37906419777813,80,20,50,0,0,0,0
18,2017-05-16,15.126,15.135,15.173,15.001,353468.0,600030,14.963200000000004,15.044400000000001,59.94887142103399,52.554072454204984,59.17542266060817,80,20,50,0,0,0,0
19,2017-05-17,15.135,15.135,15.326,15.116,459714.0,600030,15.032000000000005,15.0243,59.94887142103399,52.554072454204984,59.17542266060817,80,20,50,0,0,0,0
20,2017-05-18,15.078,14.982,15.154,14.982,405489.0,600030,15.062600000000003,14.988,39.09400698105876,42.923941268361105,53.03186614563701,80,20,50,0,0,1,1
21,2017-05-19,14.973,15.011,15.078,14.973,251833.0,600030,15.074000000000002,14.9813,43.73174672141546,45.044738577217906,53.98501501192169,80,20,50,0,0,0,0
22,2017-05-22,15.011,14.858,15.03,14.801,344287.0,600030,15.024200000000002,14.9708,29.112403710194666,36.98803522086219,48.51709619228053,80,20,50,0,0,0,0
23,2017-05-23,14.829,15.03,15.135,14.791,565193.0,600030,15.003200000000001,14.9832,51.76934292636348,48.49492240289314,54.02723871471083,80,20,50,0,0,0,0
24,2017-05-24,14.992,15.087,15.116,14.935,364325.0,600030,14.9936,15.012799999999999,57.40845591056474,51.74000675078831,55.68188027148343,80,20,50,0,0,0,0
25,2017-05-25,14.954,15.68,15.718,14.954,1659360.0,600030,15.133199999999999,15.0979,83.10173618084161,72.0766912340865,68.21132855441554,80,20,50,0,0,0,0
26,2017-05-26,15.575,15.661,15.938,15.565,1209195.0,600030,15.263200000000001,15.168599999999998,81.14132493653649,71.0113782168561,67.56706880036809,80,20,50,0,0,0,0
27,2017-05-31,15.785,15.709,16.014,15.556,799278.0,600030,15.4334,15.228799999999998,82.44882280023322,72.16616184161362,68.3617286517589,80,20,50,0,0,0,0
28,2017-06-01,15.689,15.642,15.833,15.623,583407.0,600030,15.5558,15.279499999999999,73.5513981028861,67.96700371194393,65.98621120862853,80,20,50,0,1,0,1
29,2017-06-02,15.651,15.651,15.814,15.603,547821.0,600030,15.668599999999998,15.331100000000001,74.02211668552789,68.2428047887011,66.15252016080055,80,20,50,0,0,0,0
30,2017-06-05,15.632,15.489,15.689,15.441,477573.0,600030,15.630399999999998,15.381800000000002,52.856200118165695,58.21780806027883,60.54361773691662,80,20,50,0,0,0,0
31,2017-06-06,15.498,15.527,15.594,15.412,339213.0,600030,15.603599999999997,15.4334,56.50301199128746,59.75854029860772,61.35270537508606,80,20,50,0,0,0,0
32,2017-06-07,15.537,15.642,15.747,15.508,795322.0,600030,15.590199999999996,15.5118,66.34990689048742,64.19786226076423,63.7224773729246,80,20,50,0,0,0,0
33,2017-06-08,15.67,15.709,15.747,15.594,564540.0,600030,15.603599999999997,15.579699999999999,71.11243948776796,66.58418627596637,65.03723761036471,80,20,50,0,0,0,0
34,2017-06-09,15.737,15.833,16.005,15.699,1160575.0,600030,15.639999999999997,15.654300000000001,78.23785612715264,70.61220782899197,67.34297000758704,80,20,50,0,0,0,0
35,2017-06-12,15.775,15.699,15.986,15.575,874593.0,600030,15.681999999999997,15.656200000000002,58.68468168417789,61.68420498599826,62.64360263747335,80,20,50,0,0,0,0
36,2017-06-13,15.67,15.689,15.775,15.584,419212.0,600030,15.714399999999998,15.659,57.34771174765682,61.04421710582154,62.30207860961193,80,20,50,0,0,0,0
37,2017-06-14,15.718,15.623,15.718,15.565,419495.0,600030,15.7106,15.6504,48.27436678358156,56.72806100411179,60.0284375303747,80,20,50,0,0,1,1
38,2017-06-15,15.642,15.728,15.804,15.594,480970.0,600030,15.714399999999998,15.659,60.65398950031644,61.53551750134465,62.33056933823909,80,20,50,0,0,0,0
39,2017-06-16,15.718,15.584,15.823,15.565,387157.0,600030,15.664599999999998,15.6523,43.00834486248634,52.62624796389774,57.54599047186062,80,20,50,0,0,1,1
40,2017-06-19,15.537,15.966,15.976,15.527,1092750.0,600030,15.717999999999998,15.7,70.99207830436457,66.79606304804842,65.03967421256819,80,20,50,0,0,0,0
41,2017-06-20,15.957,15.938,16.024,15.842,630269.0,600030,15.7678,15.7411,67.93576725501966,65.20760121808443,64.16579523565198,80,20,50,0,0,0,0
42,2017-06-21,16.138,16.024,16.396,15.938,1135681.0,600030,15.847999999999999,15.779300000000001,72.48382667837764,67.81927901980708,65.65762765800694,80,20,50,0,0,0,0
43,2017-06-22,15.966,16.148,16.416,15.928,1673131.0,600030,15.931999999999999,15.8232,78.08603740822755,71.27384469738232,67.69862707636375,80,20,50,0,0,0,0
44,2017-06-23,16.119,16.186,16.196,15.966,926704.0,600030,16.0524,15.858500000000001,79.67147515537766,72.28683033215187,68.30623678356508,80,20,50,0,0,0,0
45,2017-06-26,16.186,16.492,16.635,16.148,2113195.0,600030,16.157600000000002,15.9378,88.23745922961864,78.93360930485133,72.6647727582696,80,20,50,0,0,0,0
46,2017-06-27,16.482,16.349,16.511,16.301,924024.0,600030,16.239800000000002,16.0038,70.80817916775491,70.19211879777994,68.06058019895873,80,20,50,0,1,0,1
47,2017-06-28,16.32,16.33,16.502,16.253,871050.0,600030,16.301000000000002,16.0745,68.5590278165146,69.06298878413934,67.46273675329036,80,20,50,0,0,0,0
48,2017-06-29,16.32,16.33,16.425,16.224,668341.0,600030,16.337400000000002,16.1347,68.5590278165146,69.06298878413934,67.46273675329034,80,20,50,0,0,0,0
49,2017-06-30,16.263,16.263,16.349,16.072,751091.0,600030,16.352800000000002,16.202599999999997,58.347339706573855,64.54296524636527,65.22414843006172,80,20,50,0,0,0,0
50,2017-07-03,16.244,16.158,16.291,16.033,680857.0,600030,16.286,16.221799999999995,45.168126640798604,57.93990727573014,61.83910411077189,80,20,50,0,0,1,1
51,2017-07-04,16.138,15.986,16.138,15.938,727896.0,600030,16.2134,16.226599999999998,30.884057744445858,48.84474095602,56.759712782305314,80,20,50,0,0,0,0
52,2017-07-05,16.005,16.119,16.138,15.957,595098.0,600030,16.171200000000002,16.236099999999997,47.0647766898485,54.92410181816363,59.46946984758079,80,20,50,0,0,0,0
53,2017-07-06,16.148,15.986,16.177,15.909,863948.0,600030,16.102400000000003,16.219899999999996,36.40988761636049,48.51755463277548,55.789290210031254,80,20,50,0,0,0,0
54,2017-07-07,15.938,16.196,16.291,15.861,894635.0,600030,16.089000000000002,16.220899999999993,56.04829685359631,57.26313894146236,59.91243578175419,80,20,50,0,0,0,0
55,2017-07-10,16.177,16.253,16.463,16.158,1101506.0,600030,16.108,16.196999999999996,60.21681621841301,59.34593474936648,60.952887799712386,80,20,50,0,0,0,0
56,2017-07-11,16.263,16.396,16.654,16.263,1773393.0,600030,16.19,16.201699999999995,69.33681163759123,64.20827529775369,63.45754171273528,80,20,50,0,0,0,0
57,2017-07-12,16.444,16.463,16.626,16.349,1271455.0,600030,16.2588,16.214999999999993,72.96632906079441,66.30618974808394,64.57812842488828,80,20,50,0,0,0,0
58,2017-07-13,16.502,16.712,16.75,16.406,1617188.0,600030,16.404000000000003,16.253199999999993,82.5575460596536,72.87220245229321,68.37229447830772,80,20,50,0,0,0,0
59,2017-07-14,16.693,16.607,16.74,16.53,938320.0,600030,16.486200000000004,16.28759999999999,69.55074632794233,66.77522748840319,65.26903310517552,80,20,50,0,1,0,1
60,2017-07-17,16.549,16.244,16.674,16.215,1526177.0,600030,16.4844,16.296199999999992,41.37872063957323,50.53422190457909,56.01673323213099,80,20,50,0,0,1,1
61,2017-07-18,16.196,16.072,16.253,15.9,1051045.0,600030,16.419600000000003,16.304799999999993,33.37236167750016,44.797888370287254,52.317690869876074,80,20,50,0,0,0,0
62,2017-07-19,16.043,16.989,17.008,15.986,2725822.0,600030,16.524800000000006,16.391799999999996,70.89813769536875,66.99287504467354,65.21027136229674,80,20,50,0,0,0,0
63,2017-07-20,16.912,16.826,17.037,16.683,1571243.0,600030,16.547600000000003,16.475799999999996,63.01260594301738,62.06434789189099,62.070056417765564,80,20,50,0,0,0,0
64,2017-07-21,16.74,16.74,16.903,16.664,934401.0,600030,16.5742,16.530199999999997,58.70632914131229,59.498318838014086,60.45327813814826,80,20,50,0,0,0,0
65,2017-07-24,16.712,16.731,16.903,16.683,967756.0,600030,16.6716,16.577999999999996,58.1861556251088,59.21364815700082,60.280310736570264,80,20,50,0,0,0,0
66,2017-07-25,16.769,16.645,16.826,16.568,844130.0,600030,16.7862,16.602899999999998,52.61739430710591,56.3510932598441,58.59402912390975,80,20,50,0,0,0,0
67,2017-07-26,16.674,16.731,16.788,16.578,958557.0,600030,16.7346,16.6297,57.680213532229416,58.57614448720212,59.77840699368284,80,20,50,0,0,0,0
68,2017-07-27,16.712,16.654,16.779,16.444,1139058.0,600030,16.700200000000002,16.6239,51.5192923023961,55.74896601623033,58.20917404880655,80,20,50,0,0,0,0
69,2017-07-28,16.616,16.511,16.626,16.482,534609.0,600030,16.654400000000003,16.6143,41.28294914345042,50.69956906998324,55.36783955044859,80,20,50,0,0,1,1
70,2017-07-31,16.502,16.578,16.702,16.444,859923.0,600030,16.6238,16.6477,47.403374524326374,52.91950271514951,56.41705024324636,80,20,50,0,0,0,0
71,2017-08-01,16.607,16.779,16.865,16.588,1237581.0,600030,16.6506,16.7184,62.184768783594755,59.06384094715468,59.42887370481363,80,20,50,0,0,0,0
72,2017-08-02,16.807,16.865,17.056,16.702,1766616.0,600030,16.6774,16.706,67.12587439490107,61.45527759249162,60.65348415563165,80,20,50,0,0,0,0
73,2017-08-03,16.817,16.721,16.979,16.693,1034978.0,600030,16.690800000000003,16.695500000000003,52.710431194537854,55.43073652506916,57.589646527764984,80,20,50,0,0,0,0
74,2017-08-04,16.702,16.779,17.065,16.607,1431012.0,600030,16.744400000000002,16.6994,57.32457775121142,57.30390125045074,58.47889031619725,80,20,50,0,0,0,0
75,2017-08-07,16.683,16.54,16.731,16.502,976430.0,600030,16.7368,16.6803,38.15074384279035,48.056493810175866,53.603716011726,80,20,50,0,0,1,1
76,2017-08-08,16.549,16.568,16.74,16.368,1046491.0,600030,16.6946,16.6726,41.03879315444756,49.12519473236227,54.075853670465065,80,20,50,0,0,0,0
77,2017-08-09,16.53,16.368,16.53,16.31,833735.0,600030,16.5952,16.6363,28.96339287026818,42.22960523563963,50.23243221721534,80,20,50,0,0,0,0
78,2017-08-10,16.339,16.454,16.482,16.205,1024982.0,600030,16.541800000000002,16.616300000000003,38.664037758571006,45.86045016579994,51.78358436408793,80,20,50,0,0,0,0
79,2017-08-11,16.339,16.119,16.368,16.1,899627.0,600030,16.4098,16.5771,23.222645453750538,36.05315071153646,45.91557546383777,80,20,50,0,0,0,0
80,2017-08-14,16.167,16.291,16.339,16.014,721370.0,600030,16.360000000000003,16.5484,38.88682781618917,43.00626505646015,49.0367347694599,80,20,50,0,0,0,0
81,2017-08-15,16.291,16.263,16.387,16.196,489601.0,600030,16.299000000000003,16.4968,37.33675961257876,42.17675724304232,48.55656188658411,80,20,50,0,0,0,0
